"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.507862535E2,9.747442884E-1,4.357755215E0
2.512840965E2,9.779415304E-1,4.537502060E0
2.517819861E2,9.858655317E-1,4.713030604E0
2.522799435E2,9.750362692E-1,4.553586892E0
2.527779277E2,9.889442780E-1,4.615822437E0
2.532757949E2,9.853339533E-1,4.574057685E0
2.537734274E2,1.006049644E0,4.496116474E0
2.542710785E2,1.002196332E0,4.292908228E0
2.547687866E2,1.002616721E0,4.199078533E0
2.552665296E2,2.503512934E0,3.684129768E0
2.557642536E2,5.850431993E0,3.039126773E0
2.562621031E2,1.030484616E1,2.328012943E0
2.567598778E2,1.435094847E1,4.624769484E0
2.572576338E2,1.939649135E1,6.613668088E0
2.577556027E2,2.270641521E1,6.321066676E0
2.582533253E2,2.411609929E1,6.379202285E0
2.587508810E2,2.534503930E1,6.406522252E0
2.592485544E2,2.657267966E1,6.046932406E0
2.597462344E2,2.765763296E1,6.086395470E0
2.607415837E2,2.913775931E1,6.018966399E0
2.612393096E2,2.962061156E1,5.987579081E0
2.617370542E2,3.033715059E1,5.879058938E0
2.617370542E2,3.033715059E1,5.879058938E0
2.627323024E2,3.291972148E0,5.183986858E0
2.632301329E2,9.949411692E-1,5.689797655E0
2.637279615E2,9.694489988E-1,6.134076528E0
2.642257485E2,9.766747299E-1,6.234850976E0
2.647234637E2,9.872267028E-1,6.385874197E0
2.652212397E2,9.802895825E-1,6.626594399E0
2.657190705E2,1.010997017E0,6.200492094E0
2.662167276E2,9.563317033E-1,6.600225564E0
2.667144717E2,1.098264100E0,6.609126734E0
2.672120403E2,1.389818355E0,6.571391737E0
2.677095997E2,4.733133445E0,6.418829373E0
2.682074845E2,8.621494645E0,6.214755049E0
2.687053526E2,1.421995526E1,4.457647365E0
2.692032111E2,2.082315268E1,3.984625070E0
2.697011758E2,2.379087367E1,3.871284011E0
2.701991675E2,2.502369516E1,4.340822951E0
2.706971522E2,2.564739708E1,4.381068253E0
2.711952450E2,2.622365548E1,4.299919760E0
2.716933164E2,2.681033431E1,4.263247704E0
2.721914609E2,2.751824043E1,4.661479786E0
2.726895418E2,2.789372802E1,4.611760788E0
2.731875708E2,2.855961870E1,4.524435615E0
2.736855221E2,2.907411885E1,4.471696997E0
