"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.113464103E2,1.547772760E1,2.938037830E-1
1.118444619E2,1.831168976E1,-2.160881477E-2
1.123426665E2,2.048919640E1,-5.585914741E-1
1.128408011E2,2.110259793E1,-1.070618811E0
1.133389122E2,2.073662664E1,-1.378812348E0
1.138370191E2,2.038924990E1,-1.403402076E0
1.143352111E2,2.047441601E1,-6.568655386E-1
1.148334177E2,2.048174418E1,9.471923223E-1
1.158298869E2,2.165991147E1,7.793862472E-1
1.163280903E2,2.207063325E1,4.122721664E-1
1.168263543E2,2.284671929E1,7.435788354E-1
1.168263543E2,2.284671929E1,7.435788354E-1
1.173246212E2,2.423583544E1,8.904974986E-1
1.183210982E2,2.546789217E1,7.973503382E-1
1.188194295E2,2.591106415E1,6.972619122E-1
1.193176000E2,2.620657601E1,5.968490473E-1
1.198158823E2,2.637293323E1,2.283294918E-1
1.203141179E2,2.665047876E1,1.106831479E-1
1.203141179E2,2.665047876E1,1.106831479E-1
1.213109699E2,1.821882961E1,-4.750775094E0
1.218093597E2,1.845874268E1,-6.814594799E-1
1.223077648E2,1.841010303E1,3.492284578E-1
1.228060907E2,1.848248126E1,-1.800961177E-2
1.233045563E2,1.845439326E1,2.809123741E-1
1.238029413E2,1.820058780E1,1.186227388E0
1.243014385E2,1.775870486E1,2.376559734E0
1.248000287E2,1.796510113E1,2.067308851E0
1.252984990E2,1.791999091E1,2.291469809E0
1.257969787E2,1.794588049E1,1.876173149E0
1.262952901E2,1.794532651E1,2.104353325E0
1.267936219E2,1.791857221E1,2.166547357E0
1.272919240E2,1.796097712E1,2.048480987E0
1.277902590E2,1.801179040E1,2.152693238E0
1.282886214E2,1.802469752E1,2.411180553E0
1.287870867E2,1.793193046E1,2.133702285E0
1.292852981E2,1.794894598E1,1.711901827E0
1.297837018E2,1.788530187E1,1.632172285E0
1.302821347E2,1.796835004E1,1.798317947E0
1.307804238E2,1.781761301E1,2.278727468E0
1.312789246E2,1.769655324E1,1.884097261E0
1.317772063E2,1.763370758E1,2.495772411E0
1.322756244E2,1.751819993E1,2.383263217E0
1.327739056E2,1.738049223E1,2.273186590E0
1.332721659E2,1.739731837E1,2.198347319E0
1.337702704E2,1.927956893E1,2.755019346E0
1.342684990E2,2.121662376E1,3.144596881E0
1.347667741E2,2.324738116E1,3.342753526E0
1.352650622E2,2.525438638E1,3.755920885E0
1.357633417E2,2.070073385E1,5.909978035E-1
1.362615202E2,1.682529164E1,1.085436807E0
1.367597541E2,1.666261093E1,1.243815238E0
1.372579495E2,1.673132611E1,1.391613283E0
1.377561735E2,1.669368302E1,1.743045170E0
1.382543901E2,1.662695954E1,2.251184705E0
1.387526389E2,1.663843006E1,2.794522879E0
1.392509358E2,1.667242452E1,2.767462737E0
1.397490699E2,1.670708288E1,2.711085988E0
1.402473197E2,1.800294255E1,2.884793065E0
1.407455848E2,1.903538524E1,2.914739401E0
1.412438432E2,2.118262217E1,3.003370399E0
1.417421589E2,2.314125771E1,3.586265069E0
1.422403743E2,2.481586057E1,3.649993954E0
1.427386269E2,2.608443184E1,3.234981598E0
1.432367481E2,1.745297659E1,5.159731667E-1
1.437349201E2,1.644595935E1,1.010264833E0
1.442331757E2,1.618328145E1,1.223338080E0
1.447312849E2,1.582105647E1,1.487268518E0
1.452294404E2,1.575724378E1,1.476167415E0
1.457276130E2,1.576113743E1,1.326021469E0
1.462255942E2,1.510931247E1,1.159618026E0
1.467236670E2,1.460363299E1,1.090376233E0
1.472218678E2,1.468474147E1,1.074390810E0
1.477199618E2,1.476808681E1,1.017667867E0
1.482180902E2,1.532765104E1,1.363927561E0
1.487161428E2,1.646966184E1,1.327598576E0
1.492142968E2,1.882698641E1,1.944113022E0
1.497126134E2,2.061679631E1,2.228099535E0
1.502107652E2,2.159233682E1,2.658317573E0
1.507089294E2,2.255346517E1,2.775982072E0
1.512072953E2,2.319948541E1,3.013954551E0
1.517054814E2,2.419446989E1,2.648686185E0
1.522037016E2,2.488776358E1,2.328730344E0
1.527019938E2,2.560634970E1,2.737802236E0
1.532001801E2,2.205126646E1,9.114638818E-1
1.536984157E2,1.801187136E1,9.581301436E-1
1.541965991E2,1.733974925E1,9.776365405E-1
1.546946827E2,1.698010922E1,6.717670141E-1
1.551928493E2,1.673556106E1,3.317218572E-1
1.561891304E2,1.648458676E1,2.814531919E-1
1.566871848E2,1.661054257E1,3.494689126E-1
1.571852299E2,1.665900524E1,9.019124483E-1
1.571852299E2,1.665900524E1,9.019124483E-1
1.581815345E2,1.776419057E1,2.462470231E0
1.586796020E2,1.865070992E1,2.784642029E0
1.591778962E2,2.005019029E1,3.053414045E0
1.596760050E2,2.099148292E1,2.602396562E0
1.601738675E2,2.207677996E1,2.709182500E0
1.606719037E2,2.342858912E1,2.609132528E0
1.611699554E2,2.503998711E1,2.717898552E0
1.616681228E2,2.571018154E1,2.762244289E0
1.621662633E2,2.691745951E1,2.804732812E0
1.626643499E2,1.901217949E1,6.202937892E-1
1.631625318E2,1.546471744E1,1.179400227E0
1.636607224E2,1.519350071E1,1.593396214E0
1.641589979E2,1.544679310E1,1.848637853E0
1.646572369E2,1.566266035E1,2.994335529E0
1.651554697E2,1.564685330E1,2.819038922E0
1.656536269E2,1.587877892E1,2.406029989E0
1.661516650E2,1.596275611E1,2.205190585E0
1.666496859E2,1.629485627E1,-9.559705983E-1
1.671478111E2,1.657139742E1,3.518014167E0
1.676461835E2,1.702092556E1,4.264661671E0
1.681444566E2,1.789075241E1,2.953841215E0
1.686427488E2,1.933096499E1,2.978229181E0
1.691409350E2,2.036163726E1,2.548596655E0
1.696390754E2,2.158480726E1,2.653638226E0
1.701372542E2,2.315380310E1,2.598691853E0
1.706354877E2,2.440219024E1,2.581840656E0
1.711336520E2,2.535784790E1,2.540287588E0
1.716320073E2,2.660772409E1,2.631953989E0
1.721301902E2,2.192600392E1,-5.517642425E-1
1.726283211E2,1.304831234E1,2.276131454E-1
1.731264095E2,1.286387774E1,1.008279199E0
1.736246049E2,1.366492105E1,1.413162015E0
1.741229361E2,1.433389398E1,1.839559965E0
1.746211736E2,1.741618172E1,2.283031973E0
1.751193008E2,2.024275536E1,1.726548738E0
1.756175591E2,2.144603431E1,1.842886016E0
1.761159436E2,2.284705380E1,1.953265068E0
1.766142128E2,2.390672600E1,2.140692329E0
1.771126021E2,2.478799143E1,2.557956023E0
1.776110030E2,2.584620643E1,2.367371775E0
1.781092361E2,2.118307190E1,3.132496804E-1
1.786075873E2,1.421179366E1,3.768478086E-1
1.791059075E2,1.441717478E1,7.242405581E-1
1.796043656E2,1.404951146E1,8.881262145E-1
1.801027907E2,1.392932383E1,9.857577167E-1
1.806010589E2,1.398151501E1,1.011079908E0
1.810994423E2,1.393665750E1,1.237244234E0
1.815977124E2,1.369610029E1,1.372808027E0
1.820959613E2,1.331814765E1,1.256115794E0
1.825942776E2,1.323229329E1,1.268347029E0
1.830925775E2,1.306432283E1,1.298444600E0
1.835908753E2,1.292796616E1,1.077151661E0
1.840891032E2,1.285080460E1,1.038247320E0
1.845873143E2,1.273091779E1,1.303704384E0
1.850857193E2,1.267788132E1,1.362926863E0
1.855841134E2,1.262599829E1,1.485684235E0
1.865807817E2,1.129584065E1,1.043148716E0
1.870791521E2,1.119923644E1,1.248243702E0
1.870791521E2,1.119923644E1,1.248243702E0
1.875776939E2,1.155746491E1,1.218281262E0
1.885746526E2,1.147806856E1,1.533190926E0
1.890730289E2,1.151916787E1,1.496790035E0
1.895714968E2,1.147565254E1,1.490268730E0
1.900701013E2,1.145354083E1,1.378798592E0
1.905684781E2,1.144343940E1,1.319077666E0
1.910669135E2,1.142060996E1,1.381530439E0
1.915652643E2,1.142128805E1,1.615257851E0
1.920637102E2,1.122477378E1,1.752800760E0
1.925620577E2,1.105363414E1,1.683147815E0
1.930603396E2,1.091926740E1,1.561243268E0
1.935588332E2,1.073999770E1,1.485564359E0
1.940572276E2,1.061042989E1,1.916089564E0
1.945555360E2,1.207041919E1,2.524270946E0
1.950539105E2,1.510308608E1,2.881619280E0
1.955522559E2,1.820459462E1,3.046420671E0
1.960505408E2,1.964694323E1,3.179027849E0
1.965488779E2,2.139328377E1,3.127047542E0
1.970471075E2,2.316145185E1,3.018040317E0
1.975454571E2,2.518350209E1,3.345455642E0
1.980438565E2,2.014574865E1,9.388915215E-1
1.985422195E2,1.569462419E1,1.611285677E0
1.990407259E2,1.387172857E1,1.277786938E0
1.995390376E2,1.380816711E1,1.527900842E0
2.000375460E2,1.345042050E1,1.910204946E0
2.005360603E2,1.314068141E1,2.655750036E0
2.010344349E2,1.306711901E1,2.580756510E0
2.015327348E2,1.295336409E1,2.824964562E0
2.020309946E2,1.281472248E1,2.893707087E0
2.025291998E2,1.278911340E1,2.865202829E0
2.030276310E2,1.277257730E1,2.863280010E0
2.035260791E2,1.375151730E1,3.578959071E0
2.040242562E2,1.584823474E1,3.345845722E0
2.045224742E2,1.726541254E1,3.937945537E0
2.050204859E2,1.857752889E1,3.710023229E0
2.055186770E2,1.929101286E1,4.139141573E0
2.060167732E2,1.963500198E1,3.722926652E0
2.065149969E2,1.993670159E1,3.067715056E0
2.070133229E2,1.969854121E1,3.194068862E0
2.075115711E2,1.971876355E1,3.221775171E0
2.080097921E2,1.974337736E1,3.220805695E0
2.085079293E2,1.956519244E1,3.126858778E0
2.090061736E2,1.959576818E1,3.197678570E0
2.095043997E2,1.969584321E1,3.057124222E0
2.100026696E2,1.945819050E1,2.926425669E0
2.105007954E2,1.948776376E1,2.999860288E0
2.109991989E2,1.922999888E1,2.837358335E0
2.114974276E2,1.845112609E1,2.407478384E0
2.119957227E2,1.854506283E1,2.741707974E0
2.124938734E2,1.892621373E1,2.207865690E0
2.129918839E2,1.903606289E1,2.806405422E0
2.134899737E2,1.917536321E1,3.075750499E0
2.139880846E2,1.919162253E1,3.137592312E0
2.144862549E2,1.917928735E1,3.012977016E0
2.149845213E2,1.923464494E1,2.676336795E0
2.154827671E2,1.937718151E1,2.566949512E0
2.159810654E2,1.939840145E1,2.634882460E0
2.164794281E2,1.948053778E1,2.878470303E0
2.169776730E2,1.957969693E1,2.547534907E0
2.174759432E2,1.955926692E1,2.240142417E0
2.179740691E2,1.953333610E1,2.355376192E0
2.184724503E2,1.966966489E1,2.397853170E0
2.189709221E2,1.973070055E1,2.358055038E0
2.194693086E2,1.975210895E1,1.990549919E0
2.199676658E2,1.986537419E1,2.149668026E0
2.204657299E2,2.018622626E1,2.389728392E0
2.209638960E2,2.047508964E1,2.489868677E0
2.214620587E2,2.137958608E1,3.142152710E0
2.219599042E2,2.185902291E1,3.309821832E0
2.224579529E2,2.240369393E1,3.430248737E0
2.229561359E2,2.274864234E1,3.242690227E0
2.234542269E2,2.314307881E1,2.952456627E0
2.239523747E2,2.336857330E1,2.855186620E0
2.244503894E2,2.386107498E1,2.875233055E0
2.254464177E2,2.452856293E1,2.646398042E0
2.259446042E2,2.488610387E1,2.411424773E0
2.264426888E2,2.496497537E1,2.263417887E0
2.269406536E2,2.458791006E1,1.983330878E0
2.269406536E2,2.458791006E1,1.983330878E0
2.279364562E2,2.349177012E1,1.319260898E0
2.284344346E2,2.352202708E1,1.238554010E0
2.284344346E2,2.352202708E1,1.238554010E0
2.289325887E2,2.151555046E1,5.198247787E-1
2.299285154E2,2.008287446E1,8.797264457E-1
2.304265334E2,2.025733733E1,8.135272364E-1
2.309246436E2,2.103481623E1,9.283479294E-1
2.314230156E2,2.247725973E1,9.384037528E-1
2.319210956E2,2.384367478E1,1.059185408E0
2.324192371E2,2.446399745E1,1.112872404E0
2.329173129E2,2.489515804E1,1.071140454E0
